gameId,teamId,teamCity,teamName,gameType,availableFlag,efgPct,ftaRate,gameDate,gameDateTimeEst,home,matchup,min,oppEfgPct,oppFtaRate,oppOrebPct,oppTovPct,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,teamAbbreviation,teamName_right,tmTovPct,win,wl
22500703,1610612753,Orlando,Magic,Regular Season,1,0.495,0.165,2026-02-01T00:00:00,2026-02-01 21:00:00,0,ORL @ SAS,48.0,0.549,0.39,0.304,0.168,San Antonio,1610612759,Spurs,0.212,ORL,,0.147,0,L
22500711,1610612760,Oklahoma City,Thunder,Regular Season,1,0.582,0.318,2026-02-01T00:00:00,2026-02-01 21:30:00,0,OKC @ DEN,48.0,0.595,0.304,0.31,0.182,Denver,1610612743,Nuggets,0.283,OKC,,0.131,1,W
22500708,1610612747,Los Angeles,Lakers,Regular Season,1,0.524,0.226,2026-02-01T00:00:00,2026-02-01 19:00:00,0,LAL @ NYK,48.0,0.571,0.121,0.32,0.108,New York,1610612752,Knicks,0.286,LAL,,0.118,0,L
22500705,1610612741,Chicago,Bulls,Regular Season,1,0.356,0.391,2026-02-01T00:00:00,2026-02-01 18:00:00,0,CHI @ MIA,48.0,0.57,0.159,0.321,0.085,Miami,1610612748,Heat,0.283,CHI,,0.178,0,L
22500707,1610612764,Washington,Wizards,Regular Season,1,0.597,0.17,2026-02-01T00:00:00,2026-02-01 18:00:00,1,WAS vs. SAC,48.0,0.512,0.345,0.333,0.144,Sacramento,1610612758,Kings,0.426,WAS,,0.173,1,W
22500702,1610612749,Milwaukee,Bucks,Regular Season,1,0.415,0.183,2026-02-01T00:00:00,2026-02-01 15:30:00,0,MIL @ BOS,48.0,0.527,0.141,0.407,0.116,Boston,1610612738,Celtics,0.291,MIL,,0.126,0,L
22500707,1610612758,Sacramento,Kings,Regular Season,1,0.512,0.345,2026-02-01T00:00:00,2026-02-01 18:00:00,0,SAC @ WAS,48.0,0.597,0.17,0.426,0.173,Washington,1610612764,Wizards,0.333,SAC,,0.144,0,L
22500706,1610612761,Toronto,Raptors,Regular Season,1,0.488,0.357,2026-02-01T00:00:00,2026-02-01 18:00:00,1,TOR vs. UTA,48.0,0.4,0.378,0.443,0.233,Utah,1610612762,Jazz,0.283,TOR,,0.183,1,W
22500710,1610612739,Cleveland,Cavaliers,Regular Season,1,0.637,0.209,2026-02-01T00:00:00,2026-02-01 21:00:00,0,CLE @ POR,48.0,0.52,0.122,0.456,0.221,Portland,1610612757,Trail Blazers,0.279,CLE,,0.137,1,W
22500709,1610612756,Phoenix,Suns,Regular Season,1,0.435,0.194,2026-02-01T00:00:00,2026-02-01 20:00:00,1,PHX vs. LAC,48.0,0.572,0.41,0.49,0.189,LA,1610612746,Clippers,0.2,PHX,,0.053,0,L
22500692,1610612748,Miami,Heat,Regular Season,1,0.5,0.326,2026-01-31T00:00:00,2026-01-31 20:00:00,1,MIA vs. CHI,48.0,0.636,0.205,0.149,0.211,Chicago,1610612741,Bulls,0.267,MIA,,0.167,0,L
22500697,1610612766,Charlotte,Hornets,Regular Season,1,0.517,0.25,2026-01-31T00:00:00,2026-01-31 12:00:00,1,CHA vs. SAS,48.0,0.556,0.238,0.159,0.117,San Antonio,1610612759,Spurs,0.327,CHA,,0.126,1,W
22500699,1610612755,Philadelphia,76ers,Regular Season,1,0.569,0.245,2026-01-31T00:00:00,2026-01-31 19:30:00,1,PHI vs. NOP,48.0,0.516,0.239,0.222,0.1,New Orleans,1610612740,Pelicans,0.283,PHI,,0.098,1,W
22500698,1610612754,Indiana,Pacers,Regular Season,1,0.624,0.236,2026-01-31T00:00:00,2026-01-31 19:00:00,1,IND vs. ATL,48.0,0.531,0.289,0.255,0.092,Atlanta,1610612737,Hawks,0.31,IND,,0.213,1,W
22500692,1610612741,Chicago,Bulls,Regular Season,1,0.636,0.205,2026-01-31T00:00:00,2026-01-31 20:00:00,0,CHI @ MIA,48.0,0.5,0.326,0.267,0.167,Miami,1610612748,Heat,0.149,CHI,,0.211,1,W
22500699,1610612740,New Orleans,Pelicans,Regular Season,1,0.516,0.239,2026-01-31T00:00:00,2026-01-31 19:30:00,0,NOP @ PHI,48.0,0.569,0.245,0.283,0.098,Philadelphia,1610612755,76ers,0.222,NOP,,0.1,0,L
22500700,1610612763,Memphis,Grizzlies,Regular Season,1,0.544,0.267,2026-01-31T00:00:00,2026-01-31 20:00:00,1,MEM vs. MIN,48.0,0.629,0.27,0.304,0.149,Minnesota,1610612750,Timberwolves,0.333,MEM,,0.147,0,L
22500698,1610612737,Atlanta,Hawks,Regular Season,1,0.531,0.289,2026-01-31T00:00:00,2026-01-31 19:00:00,0,ATL @ IND,48.0,0.624,0.236,0.31,0.213,Indiana,1610612754,Pacers,0.255,ATL,,0.092,0,L
22500701,1610612745,Houston,Rockets,Regular Season,1,0.463,0.139,2026-01-31T00:00:00,2026-01-31 20:30:00,1,HOU vs. DAL,48.0,0.5,0.283,0.315,0.111,Dallas,1610612742,Mavericks,0.369,HOU,,0.061,1,W
22500697,1610612759,San Antonio,Spurs,Regular Season,1,0.556,0.238,2026-01-31T00:00:00,2026-01-31 12:00:00,0,SAS @ CHA,48.0,0.517,0.25,0.327,0.126,Charlotte,1610612766,Hornets,0.159,SAS,,0.117,0,L
22500700,1610612750,Minnesota,Timberwolves,Regular Season,1,0.629,0.27,2026-01-31T00:00:00,2026-01-31 20:00:00,0,MIN @ MEM,48.0,0.544,0.267,0.333,0.147,Memphis,1610612763,Grizzlies,0.304,MIN,,0.149,1,W
22500701,1610612742,Dallas,Mavericks,Regular Season,1,0.5,0.283,2026-01-31T00:00:00,2026-01-31 20:30:00,0,DAL @ HOU,48.0,0.463,0.139,0.369,0.061,Houston,1610612745,Rockets,0.315,DAL,,0.111,0,L
22500687,1610612761,Toronto,Raptors,Regular Season,1,0.565,0.381,2026-01-30T00:00:00,2026-01-30 19:30:00,0,TOR @ ORL,48.0,0.622,0.474,0.125,0.118,Orlando,1610612753,Magic,0.209,TOR,,0.137,0,L
